source,name,phone,address,category,city,country,company_number,incorporated_on,status,keyword,reason,date_found,contacted
overpass,Tia Maria Bar & Kitchen,+44 20 7622 3602,"126 South Lambeth Road, London, SW8 1RB",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Chatora City,+44 20 459 78339,"4 Great St. Thomas Apostle, London, EC4V 2BH",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Ristorante LA COLLINA,+44 20 8423 2598,London,restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,The Diner,+44 20 7226 3272,"21 Essex Road, London",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Donna Sofia,+44 20 7354 9309,"36 Highbury Park, London, N5 2AA",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Café Gallipoli Again,+44 20 7359 1578,"120 Upper Street, London, N1 1QP",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Noodles City,+44 20 7272 3302,"147 Stroud Green Road, London, N4 3PZ",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Aqua Bar & Grill,+44 20 8460 2346,"4-6 East Street, Bromley, BR1 1QN",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,La Masseria,+44 20 7535 8575,"69 Upper Berkeley Street, London, W1H 7QZ",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Red Sun,+44 20 7723 5350,"2a New Quebec Street, London",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,New Dewaniam,+44 20 7703 1941,"225a Camberwell New Road, London, SE5 0TH",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Villa Toscana,+44 20 8991 9900,"5 Boileau Parade, London, W5 3AQ",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Freej Swaileh,+44 20 7724 0220,"190 Edgware Road, London, W2 2DS",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Restaurante Castelo,+44 20 8671 8527,"369 Norwood Road, London, SE27 9BQ",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Adana Sofrasi,+44 20 8363 1111,"402 High Road, London, N17 9JB",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,The Garden House,+44 20 8880 9212,"410 High Road, London, N17 9JB",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Gold Mine,+44 20 7792 8331,"100-102 Queensway, London",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Afghan Kitchen,+44 20 7359 8019,"35 Islington Green, London, N1 8DU",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,The Vincent Rooms,+44 20 7802 8391,"76 Vincent Square, London, SW1P 2PD",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Sinuhe persian Tapas Bar,+44 20 7229 4422,"13 Hereford Road, London, W2 4AB",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Breddos,+44 20 3535 8301,"82 Goswell Road, London, EC1V 7DB",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Mama Thai,+44 20 7277 2734,"235 Walworth Road, London, SE17 1RL",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
